id,dateTime,categoryId,categoryName,title,location,meetingUrl,mediaUrl,agendaUrl,agendaPacketUrl,minutesUrl
16046,2026-02-25T14:00:00Z,144,Expenditures & Revenues Study Committee,Expenditures and Revenue Study Committee Meeting,"Town Hall, 333 Washington Street, Room 111 and Zoom, Brookline, Massachusetts, 02445",https://brooklinema.portal.civicclerk.com/event/16046,https://brooklinema.zoomgov.com/rec/share/goWxw5Kbt8LNF5yApzIbOIbmdBPqK9x33jtYDjmdzGLwq_7eJ470iHFHm5m7MauE.r6oRtHkhmwIsfish,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30239,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30240,plainText=false)",
16049,2026-02-25T15:00:00Z,28,Advisory Committee,Administration & Finance Subcommittee Hearing on Town Clerk FY27 Budget,Remote Via Zoom,https://brooklinema.portal.civicclerk.com/event/16049,https://brooklinema.zoomgov.com/rec/share/qMFbGAtFY60KKPDCnEhlpL8sOefhT-AfXn_BVRDdDj7GwWn10UgTw9omOmNC3_cV.UmDjy-o-UYJlgpwO,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=29200,plainText=false)",,
14997,2026-02-25T16:00:00Z,87,School Committee,School Negotiations Subcommittee Meeting,"Brookline Town Hall, 5th Floor,, 333 Washington Street",https://brooklinema.portal.civicclerk.com/event/14997,https://brooklinema.zoomgov.com/rec/share/YIg4gmNZlfxAdt44_qmzSudkGdF0_nU-8oHWlyNbn5OaUJ3CVIASrp-KGfNsnGkn.E6tEuZXgPlYtl6lu?startTime=1772057313000,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=28165,plainText=false)",,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30502,plainText=false)"
15039,2026-02-26T17:00:00Z,28,Advisory Committee,Personnel Subcommittee Hearing on Human Resources Dept and Benefits FY27 Budget,Remote via Zoom,https://brooklinema.portal.civicclerk.com/event/15039,https://brooklinema.zoomgov.com/rec/share/QOxnu1UckzlnTYLYpZtBREA7H1HJ1M0UQbWR6Yz4lcTz-57bEZZtS7aODaxxia38.iLOpyUdGhibyIXEP,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=28175,plainText=false)",,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30388,plainText=false)"
15013,2026-02-26T18:00:00Z,87,School Committee,School Committee Meeting,"Brookline Town Hall, 333 Washington Street, 5th Floor, and Remote via Zoom",https://brooklinema.portal.civicclerk.com/event/15013,https://www.youtube.com/watch?v=QLRDO-qMskk,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=29197,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=29199,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30637,plainText=false)"
16055,2026-02-27T09:00:00Z,144,Expenditures & Revenues Study Committee,"E&RSC ""Future"" Subcommittee",Virtually via Zoom,https://brooklinema.portal.civicclerk.com/event/16055,,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30241,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30242,plainText=false)",
15040,2026-03-02T15:15:00Z,28,Advisory Committee,Administration and Finance Subcommittee Meeting & Hearing on Assorted FY27 Budgets,Remote via Zoom,https://brooklinema.portal.civicclerk.com/event/15040,https://brooklinema.zoomgov.com/rec/share/9A-7JgNz6hjd7Rry_uQYNRyTSGOc3yKneoAdW-heFA6BPCPuc8kaafomsgImmHkl._Z2iECrMip4Rvayn?startTime=1772481703000,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=28176,plainText=false)",,
14951,2026-03-02T16:00:00Z,87,School Committee,School Curriculum Subcommittee Meeting,"Town Hall, 5th Floor, School Committee Room, and Remote via Zoom",https://brooklinema.portal.civicclerk.com/event/14951,https://brooklinema.zoomgov.com/rec/share/DxNDtnPAeOF-8vpMbHzSa2ZyhsGlBEyiwJEytetP8o5TQj1W4iNfohQRzEV7kUj-.1Wp7uPvCR5nscOEX?startTime=1772485249000,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30269,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30270,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30720,plainText=false)"
16070,2026-03-02T17:00:00Z,144,Expenditures & Revenues Study Committee,E&RSC Schools Subcommittee,Virtually via Zoom,https://brooklinema.portal.civicclerk.com/event/16070,https://brooklinema.zoomgov.com/rec/share/lWOXvPkFop76VkH9Q-WB0DNat5U_jT87cyAPcgGt6TDuWMoT9np3Fo0k6s3cb6w.7UeGmVvEiQJTeki7,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30324,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30325,plainText=false)",
16064,2026-03-02T18:00:00Z,28,Advisory Committee,Public Safety Subcommittee Hearing FY27 Police Dept Budget Review,Remote on Zoom,https://brooklinema.portal.civicclerk.com/event/16064,https://brooklinema.zoomgov.com/rec/share/Gt5ILIY9PMN9UQm-WKDxuEQLRXIkU-6kzcA2yRn_e695Vjg28y0IDvK-3GGv6fpK.cAXxTR035Cfr4Q3v,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30252,plainText=false)",,
16073,2026-03-03T09:00:00Z,144,Expenditures & Revenues Study Committee,E&RSC Town Subcommittee,Virtually via Zoom,https://brooklinema.portal.civicclerk.com/event/16073,https://brooklinema.zoomgov.com/rec/share/BUaViPlLx1LFkl1if2xHVEKB_o3gbSROkFJZ2PVPk05VnQGkAnyDWp2vjgWLAjHr.mVGY7m9ODDLjbbe-,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30335,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30347,plainText=false)",
16083,2026-03-03T11:30:00Z,144,Expenditures & Revenues Study Committee,Expenditures and Revenue Study Committee Meeting,"Town Hall, 333 Washington Street, Room 103 and Zoom, Brookline, Massachusetts, 02445",https://brooklinema.portal.civicclerk.com/event/16083,https://brooklinema.zoomgov.com/rec/share/KBUhKuQaszIdn5pmzsIRHAxj3ROv-jY5_gBNcIEy20P5MJgeVelHWNfskFvTlniC.fLszZ85CMnxFqJPq,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30351,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30352,plainText=false)",
16087,2026-03-03T18:30:00Z,28,Advisory Committee,Human Services Subcommittee Meeting,,https://brooklinema.portal.civicclerk.com/event/16087,https://brooklinema.zoomgov.com/rec/share/qMUhw8G5b06m6GPS4u7yf8404eRctKW08vsS87zo7fJNLyMnBv_-uw0tCkRwKM5x.UHBIpYGeigAbJXyi,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30287,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30369,plainText=false)",
16056,2026-03-03T19:00:00Z,28,Advisory Committee,Advisory Committee Meeting,,https://brooklinema.portal.civicclerk.com/event/16056,https://brooklinema.zoomgov.com/rec/share/L0rsVX68pjbaOEXbrXJSshMwf_PyzCj22tzea4BIfkOl35weULwnzkk9kkRmt9X4.Dj9vIK2UR6W9suyY?startTime=1772581553000,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30259,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30363,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30424,plainText=false)"
16074,2026-03-04T14:00:00Z,144,Expenditures & Revenues Study Committee,Expenditures and Revenue Study Committee Meeting,"Town Hall, 333 Washington Street, Room 103 and Zoom, Brookline, Massachusetts, 02445",https://brooklinema.portal.civicclerk.com/event/16074,https://brooklinema.zoomgov.com/rec/share/R6kx4Y2iEnZbgDgOPXofhfF6em-cK-TY9CtrB6Xa_Q86BkvHeBg2jwEwK-4QPYCo.-iwT7fi7C92LJH5Q,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30354,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30378,plainText=false)",
15041,2026-03-04T15:00:00Z,28,Advisory Committee,Administration & Finance Subcommittee Hearing on Information Technology FY27 Budget,Remote via Zoom,https://brooklinema.portal.civicclerk.com/event/15041,https://brooklinema.zoomgov.com/rec/share/TJuW0yNjKKCG5wcXJlxYIbYRNhFbtZZ4Pjj_qOWti0xOjrgbCDS5g-lJiyVctJI1.ZeM3mfdbwu2o8iCD?startTime=1772653249000,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30346,plainText=false)",,
16050,2026-03-04T17:00:00Z,28,Advisory Committee,Capital Subcommittee Hearing - Public Safety & Other CIP,Remote Via Zoom,https://brooklinema.portal.civicclerk.com/event/16050,https://brooklinema.zoomgov.com/rec/share/Y9F3pXUGK7LZ3LM8giRbbu56VA_Gz-w9iG1XzUPIb0m0-wOwiZ9SfPr_XGoYBF8s.goBt80PSwwlPdo5P,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=29217,plainText=false)",,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30437,plainText=false)"
14115,2026-03-04T18:00:00Z,87,School Committee,School Committee Meeting,"Brookline Town Hall, 5th Floor, and Remote via BIG Live Stream and Broadcast",https://brooklinema.portal.civicclerk.com/event/14115,https://www.youtube.com/watch?v=L5AW1g7w77k&t=2448s,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30339,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30340,plainText=false)","https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30662,plainText=false)"
16072,2026-03-05T09:00:00Z,144,Expenditures & Revenues Study Committee,E&RSC Town Subcommittee,Virtually via Zoom,https://brooklinema.portal.civicclerk.com/event/16072,,"https://brooklinema.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=30381,plainText=false)",,
